Time,Totalcalls,ActiveCalls,RingingCalls
Tue Jul 19 00:41:32 EST 2022,0,0,0
Tue Jul 19 00:41:42 EST 2022,0,0,0
Tue Jul 19 00:41:52 EST 2022,0,0,0
Tue Jul 19 00:42:02 EST 2022,0,0,0
Tue Jul 19 00:42:12 EST 2022,0,0,0
Tue Jul 19 00:42:22 EST 2022,1,0,1
Tue Jul 19 00:42:32 EST 2022,1,0,1
Tue Jul 19 00:42:42 EST 2022,1,0,1
Tue Jul 19 00:42:52 EST 2022,0,0,0
Tue Jul 19 00:43:02 EST 2022,0,0,0
Tue Jul 19 00:43:12 EST 2022,0,0,0
Tue Jul 19 00:43:22 EST 2022,0,0,0
Tue Jul 19 00:43:32 EST 2022,0,0,0
Tue Jul 19 00:43:42 EST 2022,0,0,0
Tue Jul 19 00:43:52 EST 2022,0,0,0
Tue Jul 19 00:44:02 EST 2022,0,0,0
Tue Jul 19 00:44:12 EST 2022,0,0,0
Tue Jul 19 00:44:22 EST 2022,0,0,0
Tue Jul 19 00:44:32 EST 2022,0,0,0
Tue Jul 19 00:44:42 EST 2022,0,0,0
Tue Jul 19 00:44:52 EST 2022,0,0,0
Tue Jul 19 00:45:02 EST 2022,0,0,0
Tue Jul 19 00:45:12 EST 2022,0,0,0
Tue Jul 19 00:45:22 EST 2022,0,0,0
Tue Jul 19 00:45:32 EST 2022,0,0,0
Tue Jul 19 00:45:42 EST 2022,0,0,0
Tue Jul 19 00:45:52 EST 2022,0,0,0
Tue Jul 19 00:46:02 EST 2022,0,0,0
Tue Jul 19 00:46:12 EST 2022,0,0,0
Tue Jul 19 00:46:22 EST 2022,1,0,1
Tue Jul 19 00:46:32 EST 2022,1,0,1
Tue Jul 19 00:46:42 EST 2022,1,0,1
Tue Jul 19 00:46:52 EST 2022,0,0,0
Tue Jul 19 00:47:02 EST 2022,0,0,0
Tue Jul 19 00:47:12 EST 2022,0,0,0
Tue Jul 19 00:47:22 EST 2022,0,0,0
Tue Jul 19 00:47:32 EST 2022,0,0,0
Tue Jul 19 00:47:42 EST 2022,0,0,0
Tue Jul 19 00:47:52 EST 2022,0,0,0
Tue Jul 19 00:48:02 EST 2022,0,0,0
Tue Jul 19 00:48:12 EST 2022,0,0,0
Tue Jul 19 00:48:22 EST 2022,1,0,1
Tue Jul 19 00:48:33 EST 2022,1,0,1
Tue Jul 19 00:48:43 EST 2022,1,0,1
Tue Jul 19 00:48:53 EST 2022,0,0,0
Tue Jul 19 00:49:03 EST 2022,0,0,0
Tue Jul 19 00:49:13 EST 2022,0,0,0
Tue Jul 19 00:49:23 EST 2022,0,0,0
Tue Jul 19 00:49:33 EST 2022,0,0,0
Tue Jul 19 00:49:43 EST 2022,0,0,0
Tue Jul 19 00:49:53 EST 2022,0,0,0
Tue Jul 19 00:50:03 EST 2022,0,0,0
Tue Jul 19 00:50:13 EST 2022,0,0,0
Tue Jul 19 00:50:23 EST 2022,0,0,0
Tue Jul 19 00:50:33 EST 2022,0,0,0
Tue Jul 19 00:50:43 EST 2022,0,0,0
Tue Jul 19 00:50:53 EST 2022,1,0,1
Tue Jul 19 00:51:03 EST 2022,1,0,1
Tue Jul 19 00:51:13 EST 2022,1,0,1
Tue Jul 19 00:51:23 EST 2022,1,1,0
Tue Jul 19 00:51:33 EST 2022,0,0,0
Tue Jul 19 00:51:43 EST 2022,0,0,0
Tue Jul 19 00:51:53 EST 2022,1,0,1
Tue Jul 19 00:52:03 EST 2022,1,0,1
Tue Jul 19 00:52:13 EST 2022,1,0,1
Tue Jul 19 00:52:23 EST 2022,0,0,0
Tue Jul 19 00:52:33 EST 2022,0,0,0
Tue Jul 19 00:52:43 EST 2022,0,0,0
Tue Jul 19 00:52:53 EST 2022,0,0,0
Tue Jul 19 00:53:03 EST 2022,0,0,0
Tue Jul 19 00:53:13 EST 2022,0,0,0
Tue Jul 19 00:53:23 EST 2022,0,0,0
Tue Jul 19 00:53:33 EST 2022,0,0,0
Tue Jul 19 00:53:43 EST 2022,0,0,0
Tue Jul 19 00:53:53 EST 2022,0,0,0
Tue Jul 19 00:54:03 EST 2022,0,0,0
Tue Jul 19 00:54:13 EST 2022,0,0,0
